ID	ID_ALUNO	ID_CURSO	AcertosConhecEspecificos	PercenConhecEspecificos	AcertosfundaGerais	PercenFundaGerais	NotasTeste	PercenTotal	ClassGeral	ClassUnidade
1	1	1	9	30	4	40	13	32,5	21	10
2	2	2	6	20	8	80	14	35	20	11
3	3	3	17	56,67	2	20	19	47,5	15	4
4	4	4	8	26,67	10	100	18	45	16	2
5	5	5	12	40	3	30	15	37,5	19	9
6	6	6	11	36,67	7	70	18	45	16	4
7	7	7	13	43,33	6	60	19	47,5	15	5
8	8	8	10	33,33	9	90	19	47,5	15	4
9	9	9	10	33,33	3	30	13	32,5	21	14
10	10	10	12	40	8	80	20	50	14	5
11	11	11	9	30	7	70	16	40	18	11
12	12	12	12	40	5	50	17	42,5	17	5
13	13	13	13	43,33	7	70	20	50	14	6
14	14	14	10	33,33	4	40	14	35	20	4
15	15	15	14	46,67	6	60	20	50	14	4
16	16	16	15	50	7	70	22	55	12	3
17	17	17	14	46,67	8	80	22	55	12	3
18	18	18	13	43,33	7	70	20	50	14	5
19	19	19	23	76,67	9	90	32	80	4	1
20	20	20	9	30	5	50	14	35	20	5
21	21	21	10	33,33	5	50	15	37,5	19	4
22	22	22	6	20	5	50	11	27,5	23	16
23	23	23	14	46,67	8	80	22	55	12	2
24	24	24	8	26,67	7	70	15	37,5	19	10
25	25	25	11	36,67	8	80	19	47,5	15	5
26	26	26	9	30	6	60	15	37,5	19	4
27	27	27	5	16,67	7	70	12	30	22	13
28	28	28	8	26,67	6	60	14	35	20	11
29	29	29	9	30	6	60	15	37,5	19	9
30	30	30	12	40	6	60	18	45	16	6
31	31	31	11	36,67	6	60	17	42,5	17	7
32	32	32	12	40	7	70	19	47,5	15	5
33	33	33	11	36,67	5	50	16	40	18	3
34	34	34	9	30	5	50	14	35	20	9
35	35	35	15	50	7	70	22	55	12	3
36	36	36	14	46,67	9	90	23	57,5	11	3
37	37	37	11	36,67	5	50	16	40	18	3
38	38	38	14	46,67	7	70	21	52,5	13	6
39	39	39	12	40	6	60	18	45	16	9
40	40	40	9	30	7	70	16	40	18	8
41	41	41	8	26,67	3	30	11	27,5	23	11
42	42	42	10	33,33	6	60	16	40	18	3
43	43	43	9	30	4	40	13	32,5	21	12
44	44	44	14	46,67	6	60	20	50	14	3
45	45	45	14	46,67	6	60	20	50	14	4
46	46	46	14	46,67	7	70	21	52,5	13	6
47	47	47	8	26,67	5	50	13	32,5	21	13
48	48	48	11	36,67	7	70	18	45	16	2
49	49	49	11	36,67	6	60	17	42,5	17	10
50	50	50	17	56,67	8	80	25	62,5	9	2
