ID;ID_PROVA;NOME;DATA
2;2;NULL;0000-00-00
3;3;NULL;0000-00-00
4;4;NULL;0000-00-00
5;5;NULL;0000-00-00
6;6;NULL;0000-00-00
7;7;NULL;0000-00-00
8;8;NULL;0000-00-00
9;9;NULL;0000-00-00
10;10;NULL;0000-00-00
11;11;NULL;0000-00-00
12;12;NULL;0000-00-00
13;13;NULL;0000-00-00
14;14;NULL;0000-00-00
15;15;NULL;0000-00-00
16;16;NULL;0000-00-00
17;17;NULL;0000-00-00
18;18;NULL;0000-00-00
19;19;NULL;0000-00-00
20;20;NULL;0000-00-00
21;21;NULL;0000-00-00
22;22;NULL;0000-00-00
23;23;NULL;0000-00-00
24;24;NULL;0000-00-00
25;25;NULL;0000-00-00
26;26;NULL;0000-00-00
27;27;NULL;0000-00-00
28;28;NULL;0000-00-00
29;29;NULL;0000-00-00
30;30;NULL;0000-00-00
31;31;NULL;0000-00-00
32;32;NULL;0000-00-00
33;33;NULL;0000-00-00
34;34;NULL;0000-00-00
35;35;NULL;0000-00-00
36;36;NULL;0000-00-00
37;37;NULL;0000-00-00
38;38;NULL;0000-00-00
39;39;NULL;0000-00-00
40;40;NULL;0000-00-00
41;41;NULL;0000-00-00
42;42;NULL;0000-00-00
43;43;NULL;0000-00-00
44;44;NULL;0000-00-00
45;45;NULL;0000-00-00
46;46;NULL;0000-00-00
47;47;NULL;0000-00-00
48;48;NULL;0000-00-00
49;49;NULL;0000-00-00
50;50;NULL;0000-00-00
51;51;NULL;0000-00-00
52;52;NULL;0000-00-00
53;53;NULL;0000-00-00
54;54;NULL;0000-00-00
55;55;NULL;0000-00-00
56;56;NULL;0000-00-00
57;57;NULL;0000-00-00
58;58;NULL;0000-00-00
59;59;NULL;0000-00-00
60;60;NULL;0000-00-00
61;61;NULL;0000-00-00
62;62;NULL;0000-00-00
63;63;NULL;0000-00-00
64;64;NULL;0000-00-00
65;65;NULL;0000-00-00
66;66;NULL;0000-00-00
67;67;NULL;0000-00-00
68;68;NULL;0000-00-00
69;69;NULL;0000-00-00
70;70;NULL;0000-00-00
71;71;NULL;0000-00-00
72;72;NULL;0000-00-00
73;73;NULL;0000-00-00
74;74;NULL;0000-00-00
75;75;NULL;0000-00-00
76;76;NULL;0000-00-00
77;77;NULL;0000-00-00
